name,linked-in,title,image
Bavalpreet Singh,https://www.linkedin.com/in/bavalpreetsinghh/,AI Architect,baval-profile.png
Jaskaran Singh,https://www.linkedin.com/in/jaskaran-singh-586b8b14a/,Sr AI Engineer,jaskaran-profile.png
Jashneet Kaur,https://www.linkedin.com/in/jashneet-kaur/,AI Engineer,jashneet-profile.png
Murilo Bauer,https://www.linkedin.com/in/murilobauer/,Sr Software Engineer,murilo-profile.png
Veller Bauer,https://www.linkedin.com/in/vellerbauer/,Engineering Manager,veller-profile.png
Ankit Gupta,https://www.linkedin.com/in/ankit-gupta1106/,AI Engineer,ankit-profile.png
Supreeth Shridhar,,Sr Software Engineer,
Vasanth Kumar,https://www.linkedin.com/in/vasanthkumarn/,Sr Software Engineer,vasanth-profile.png
Ranjini Iyer,https://www.linkedin.com/in/ranjini-iyer-4b4540237/,AI Engineer,
Chitra R,https://www.linkedin.com/in/chitra-r-bbb3ab169/,Software Engineer,chitra-profile.png
Sharadhi Adiga,https://www.linkedin.com/in/sharadhi-adiga/,Software Engineer,sharadhi-profile.png
Akash Manikantan,,Software Engineer,
Adriano Groff,https://www.linkedin.com/in/adrianokg/,Sr Software Engineer,adriano-profile.png
